prompt,task type,file path,correct file path
Make a readable version of the speech in this file.,VTT,silent_sky_0.pdf,0
Can you transcribe the dialogue in this film clip?,VTT,sunny_document_1.jpeg,0
Write down all the words spoken in this recording.,VTT,smooth_moment_2.mov,1
What is being said in this short film?,VTT,crazy_moment_3.jpeg,0
Turn this video into written form.,VTT,crazy_moment_4.pdf,0
I want subtitles for this movie scene.,VTT,noisy_document_5.pdf,0
Extract spoken content from this video file.,VTT,dark_moment_6.png,0
Generate a full transcript from this mp4.,VTT,dark_sky_7.wav,0
Produce a transcript for this interview video.,VTT,fuzzy_sky_8.pdf,0
Transcribe this camera recording.,VTT,fuzzy_forest_9.mp4,1
Generate a dialogue list from this video file.,VTT,smooth_painting_10.mov,1
Can you convert the audio from this video to text?,VTT,noisy_recording_11.avi,1
Get the transcript for this video conversation.,VTT,silent_forest_12.avi,1
Please create a subtitle file from this video.,VTT,dark_voice_13.avi,1
Turn the sound in this video into text.,VTT,noisy_sky_14.mov,1
Get the dialogue text from this visual media.,VTT,noisy_sky_15.mp3,0
I’d like a written script from this video content.,VTT,crazy_recording_16.mov,1
Type out what’s said in this video file.,VTT,silent_scene_17.txt,0
Create a subtitle track for this clip.,VTT,bright_document_18.mp4,1
Extract the audio content as text from this video.,VTT,crazy_scene_19.mp4,1
Render a dynamic video from this vocal performance.,ATV,smooth_forest_0.mp3,1
Craft a video sequence for this spoken story.,ATV,sunny_recording_1.wav,1
Translate this song into a matching video format.,ATV,noisy_sky_2.mp3,1
Use this sound to generate a video.,ATV,fuzzy_scene_3.mp3,1
Use this audio to generate cinematic visuals.,ATV,sunny_moment_4.wav,1
Turn this sound recording into a visual presentation.,ATV,quiet_river_5.ogg,1
Generate a short movie from this sound file.,ATV,noisy_moment_6.docx,0
Make a music video for this audio track.,ATV,silent_painting_7.wav,1
Visualize this recording as a video clip.,ATV,bright_voice_8.pdf,0
Make a video that fits the rhythm of this file.,ATV,bright_scene_9.pdf,0
Please turn this audio file into a video.,ATV,silent_document_10.mp3,1
Turn this .mp3 into a video file.,ATV,wild_painting_11.png,0
Animate a visual scene from this narration.,ATV,crazy_video_12.jpg,0
I want a video that matches this audio tone.,ATV,silent_painting_13.bmp,0
Create a video animation based on this song.,ATV,fuzzy_river_14.ogg,1
Make a film clip using this audio as base.,ATV,dark_river_15.jpg,0
Visualize the sound in this clip using video.,ATV,quiet_moment_16.docx,0
Convert this voiceover into an animated scene.,ATV,wild_video_17.docx,0
Create visuals to accompany this melody.,ATV,smooth_document_18.mp3,1
Produce a video that illustrates this podcast snippet.,ATV,crazy_moment_19.docx,0
Write out this interview recording.,STT,quiet_voice_0.pdf,0
Please transcribe this podcast episode.,STT,sunny_moment_1.mp4,0
I need a written version of this speech.,STT,bright_moment_2.wav,1
Type out what this person is saying.,STT,dark_forest_3.mp3,1
Can you put the content of this sound into text form?,STT,wild_voice_4.wav,1
Write down what’s being said in this voice memo.,STT,smooth_painting_5.mp3,1
I want the words from this .wav file in text.,STT,noisy_painting_6.wav,1
Transcribe this customer support call.,STT,noisy_video_7.bmp,0
I’d like a transcript of this spoken file.,STT,sunny_scene_8.png,0
Generate captions from this sound file.,STT,sunny_river_9.jpeg,0
Generate a transcript from this mp3 recording.,STT,bright_video_10.pdf,0
Can you provide subtitles for this narration?,STT,wild_moment_11.ogg,1
Convert this audio message into written form.,STT,fuzzy_video_12.jpeg,0
Turn this dialogue recording into a script.,STT,smooth_forest_13.jpeg,0
Convert this voice input into a readable format.,STT,quiet_voice_14.ogg,1
What is being said in this audio clip?,STT,silent_moment_15.bmp,0
Transcribe this conference audio session.,STT,quiet_sky_16.ogg,1
Turn this sound file into text.,STT,fuzzy_recording_17.wav,1
Extract all spoken words from this audio file.,STT,noisy_forest_18.txt,0
Create a written record of this phone call.,STT,dark_document_19.docx,0
Please vocalize this essay on climate change.,TTS,noisy_recording_0.ogg,0
I want to hear this written paragraph.,TTS,bright_scene_1.png,0
Convert this book excerpt to an mp3 format.,TTS,noisy_forest_2.wav,0
Speak this sentence out loud: 'The stars shine at night.',TTS,crazy_voice_3.pdf,1
Generate a voiceover from this written content.,TTS,crazy_document_4.docx,1
Give me a spoken version of the attached document.,TTS,sunny_recording_5.mp3,0
Play the audio of this written speech.,TTS,smooth_scene_6.avi,0
Transform this policy brief into something I can listen to.,TTS,smooth_recording_7.bmp,0
Please convert this text file into speech.,TTS,smooth_river_8.docx,1
Speak the following monologue out loud.,TTS,silent_moment_9.bmp,0
Can you generate an audio version of this paper?,TTS,crazy_moment_10.docx,1
Recite the following: 'Once upon a time in a distant land...',TTS,sunny_video_11.pdf,1
Can you provide audio for this script?,TTS,wild_recording_12.jpeg,0
Narrate this document as if it were a podcast.,TTS,noisy_river_13.pdf,1
Turn the words in this document into audio.,TTS,noisy_recording_14.wav,0
Read out this formal letter I just wrote.,TTS,sunny_sky_15.bmp,0
Say this aloud: 'Innovation drives progress.',TTS,silent_forest_16.docx,1
Read this article out loud for me.,TTS,fuzzy_river_17.pdf,1
I'd like this message to be turned into a voice note.,TTS,smooth_recording_18.jpg,0
I'd like to listen to the contents of this file.,TTS,fuzzy_painting_19.docx,1
Draw a scene of 'a forest with glowing mushrooms'.,TTI,sunny_painting_0.docx,1
Build a photo from this phrase: 'a smiling astronaut on Mars'.,TTI,fuzzy_document_1.pdf,1
Draw the idea expressed in this paragraph.,TTI,smooth_river_2.docx,1
Please create an image based on this description.,TTI,crazy_recording_3.png,0
Generate a sketch from this descriptive text.,TTI,fuzzy_sky_4.mov,0
Visualize this line: 'a cat sitting on a stack of books'.,TTI,smooth_recording_5.png,0
I want to see what this line would look like as an image.,TTI,sunny_painting_6.txt,1
Create an artwork from this short description.,TTI,crazy_moment_7.mp3,0
Use this caption to render a drawing.,TTI,wild_river_8.jpg,0
Translate this line into a creative image.,TTI,smooth_moment_9.ogg,0
Use this sentence to produce a photo-like image.,TTI,fuzzy_scene_10.jpeg,0
