prompt,task type
Can you write the conversation from this video?,VTT
Create a readable version of the audio track.,VTT
Generate a written transcript of this tutorial.,VTT
Make a readable summary of this presentation.,VTT
I want to read what is said in this footage.,VTT
Document the verbal content of this clip.,VTT
Make a text-only version of this conversation.,VTT
Make text subtitles for this video.,VTT
Write the spoken content from this media file.,VTT
Write the words heard in this YouTube video.,VTT
Extract every spoken word from this clip.,VTT
Please write down the audio content of this film.,VTT
Summarize the spoken parts of this clip in text.,VTT
Generate a script from this video content.,VTT
Write out the entire speech from this webinar.,VTT
Transcribe this screen recording to text.,VTT
Make this video accessible through text.,VTT
Produce subtitles in plain text format.,VTT
Convert the audio from this video into text.,VTT
Write down the audio dialogue in this film.,VTT
Convert the speech in this video to text.,VTT
I need a transcript of this video file.,VTT
What do the people in this video say?,VTT
Write out what's said during this livestream.,VTT
Extract the spoken words from this video clip.,VTT
Make a transcription of this video interview.,VTT
Turn this video conversation into a script.,VTT
Create a caption file for this footage.,VTT
Create a dialogue log from this footage.,VTT
I need closed captions for this video.,VTT
Write out what people are saying in this video.,VTT
Create text captions from this video dialogue.,VTT
Write down everything said in this video file.,VTT
I want all the dialogue typed out.,VTT
Convert this visual narrative to written form.,VTT
Type out the speech from this video sequence.,VTT
Write the transcript as if it's a play.,VTT
Turn this movie clip into a text document.,VTT
Write the lines spoken in this documentary clip.,VTT
Produce a subtitle file for this scene.,VTT
Give me a document version of this video call.,VTT
Create a written version of this movie clip.,VTT
Create a full script of this video.,VTT
Can you create dialogue text from this video?,VTT
Extract all conversation lines from this video.,VTT
Transcribe this educational video.,VTT
What is being said in this video?,VTT
Turn this tutorial into a step-by-step text format.,VTT
Generate subtitles from this video recording.,VTT
Transcribe the dialogue from this video.,VTT
Please speak this announcement.,TTS
I'd like an audio version of this document.,TTS
Narrate this script.,TTS
Say the contents of this note.,TTS
I want to listen to this content.,TTS
Turn this short message into sound.,TTS
Read this like a narrator.,TTS
I want to hear this written note.,TTS
Say these notes out loud.,TTS
Read this as if it's a bedtime story.,TTS
Say this sentence using speech synthesis.,TTS
Speak this review out loud.,TTS
Make an audio file from this post.,TTS
Convert this email into spoken form.,TTS
Say this phrase out loud.,TTS
Say this document in a human voice.,TTS
Tell me what this text says.,TTS
Can you read this blog entry aloud?,TTS
Make this article audible.,TTS
Can you turn this message into speech?,TTS
Read this instruction with clarity.,TTS
Please read this aloud.,TTS
Read this sentence aloud.,TTS
